คำนำหน้า,ชื่อ,นามสกุล,พรรค,"การลงมติ
เห็นชอบ (1) 
ไม่เห็นชอบ (2)
งดออกเสียง (3)"
นางสาว,กมนทรรศน์,กิตติสุนทรสกุล,ก้าวไกล,1
นาย,กมลศักดิ์,ลีวาเมาะ,ประชาชาติ,1
นาย,กรรณภว์,ธนภรรคภวิน,ส.ว.,3
นาย,กรวีร์,ปริศนานันทกุล,ภูมิใจไทย,2
นาย,กรวีร์,สาราคำ,เพื่อไทย,1
นาย,กระแสร์,ตระกูลพรพงศ์,พลังประชารัฐ,2
นาย,กรุณพล,เทียนสุวรรณ,ก้าวไกล,1
นาย,กฤช,ศิลปชัย,ก้าวไกล,1
นาย,กฤดิทัช,แสงธนโยธิน,ใหม่,3
นางสาว,กฤษฎิ์,ชีวะธรรมานนท์,ก้าวไกล,1
นาย,กฤษฐ์หิรัญ,เลิศอุฤทธิ์ภักดี,ก้าวไกล,1
นางสาว,กฤษณา,สีหลักษณ์,เพื่อไทย,1
พลตรี,กลชัย,สุวรรณบูรณ์,ส.ว.,3
นาย,กล้านรงค์,จันทิก,ส.ว.,3
นาย,กษิดิศ,อาชวคุณ,ส.ว.,3
นาง,กอบกุล,อาภากร ณ อยุธยา,ส.ว.,
นาย,กัณตภณ,ดวงอัมพร,ก้าวไกล,1
นาย,กัณวีร์,สืบแสง,เป็นธรรม,1
นาย,กันต์พงษ์,ประยูรศักดิ์,ก้าวไกล,1
นางสาว,กัลยพัชร,รจิตโรจน์,ก้าวไกล,1
นาย,กาญจน์,ตั้งปอง,ประชาธิปัตย์,3
นางสาว,กาญจนา,จังหวะ,พลังประชารัฐ,2
นาง,กาญจนารัตน์,ลีวิโรจน์,ส.ว.,3
นางสาว,กานสินี,โอภาสรังสรรค์,รวมไทยสร้างชาติ,2
นางสาว,การณิก,จันทดา,ก้าวไกล,1
นาย,กำพล,เลิศเกียรติดำรงค์,ส.ว.,2
นาย,กิตติ,วะสีนนท์,ส.ว.,
นาย,กิตติ,กิตติธรกุล,ภูมิใจไทย,2
นาย,กิตติ,สมทรัพย์,เพื่อไทย,1
นางสาว,กิตติ์ธัญญา,วาจาดี,เพื่อไทย,1
นาย,กิตติภณ,ปานพรหมมาศ,ก้าวไกล,1
นาย,กิตติศักดิ์,รัตนวราหะ,ส.ว.,2
นาย,กิตติศักดิ์,คณาสวัสดิ์,เพื่อไทย,1
นางสาว,กุลวลี,นพอมรบดี,รวมไทยสร้างชาติ,2
นาย,กูรดิสถ์,จันทร์ศรีชวาลา,ส.ว.,3
นาย,เกรียง,กัลป์ตินันท์,เพื่อไทย,1
